email_body,subject_line
"I apologize for the late notice, but Sally has just been notified that a  cross-functional PRC meeting w/ Rick Causey has been set for this Friday,  December 1.
She will need a compilation of your accomplishments by  Thursday.
If you have directors reporting to you, please request that they  also have data in to Sally by Thursday.
Thanks for your help,
",Accomplishments for 2000
"Russ is going to be out for PRC tomorrow.
I am OOTO on Wednesday.
Could we postpone the GTV II presentation to next week.
Thanks
",Reschedule GTV-II presentation
"Dear Susan  What's happening now?
It's all over the international news that Enron will not make it.
what are they saying to the employees?
Thinking about you!
connie   **********************************************************************
",r u there today?
"Rick/Mark: As discussed with you yesterday, the Enron Credit book has exposure to industries which have been negatively impacted by the events of last week.
Credit spreads have widened out in most sectors that demonstrate liquidity and remain unchanged in markets that have yet to find liquidity.
The Enron Credit book is net long protection/short risk which should be beneficial to P/L in the short-term, but there is significant default risk remaining in the book.
The exposures quoted below are gross notional exposures.
There will likely be significant recovery in the event of a default.
The primary risk is in the following sectors:  Airlines AMR Corp/Del	- Short $10MM protection Boeing Co. - Long $20MM protection British Airways Plc - Short $3MM protection Delta Airlines - Short $30MM protection Deutsche Lufthansa AG - Long $17MM protection Quantas Airways Ltd - Short $10MM protection Southwest Airlines - Net flat  The positions that we are concerned about are Delta and AMR.
Continental has announced that it may miss an interest payment early next week.
Insurance/Reinsurance Axa - Short $10MM protection; short $5mm bonds; net short $5mm protection Conseco Inc. - Short $5MM protection; short $4mm bonds; net short $1mm protection  Additionally, we have mark-to-market counterparty credit exposure of $5.7mm to CNA, $5.8mm to Ace, 10.7mm to FSL,$3.6mm to MBIA, $10 mm to Mitsui.
Reserves have been taken for all counterparty exposure.
The biggest concern here is CNA.
Lodging/Leisure Carnival Corp. - short $20MM protection Hilton Hotels Corp. - Short $25MM protection  Many of the short positions are in the insurance portfolios where we have purchased  2nd loss protection  and retain the 1st loss.
Please let me know if you need additional information.
Ted
",Credit Exposure-Enron Credit
"Dennis:  Please, Adjust the Red Rock Administrative contract as shown on the Dec 4, 2001 sheet.
This now reserves both Rec & Del points, for 120,000 dth.
Call PT 3-0667 with any questions
",Red Rock Admin. Contract # 27698.
"If you run a business and are reading this e-mail 	chances are you have probably heard of merchant 	accounts.
While there are lots of other Merchant Account 	Venders telling you all the same thing, we don't 	have any limited time offers, no monthly sales 	or any other slick marketing techniques.
Our Prices are the lowest, we never have set up 	fee or application fee.
Our Monthly rates 	already are super low, our transaction fee 	is so low it's almost free!!
Reply to this e-mail with your          Name:         Phone Number:         Best time to call :   	One of our helpful staff will call you and help 	you set up your account.
For Whatever size your business is, we have an 	account perfect for you.
If you have any 	previous credit problems?
Don't worry about it 	because we won't either!!
While our competition may have a sale this month, 	Or won't charge you a set up fee today.
We have 	a sale everyday.
All you need to do to take 	advantage of this every day offer is simply  	Reply today and you can accept;  	Visa   Mastercard   American Express  	Discover   Novus   Direct Checks          Fax Checks and  Also Accept Debit Cards !!
Remember, this is not a sale, not a limited 	time offer.
We Offer the best rates, all the 	time.
You are 99.8% GUARANTEED to get a merchant account.
So what are you waiting for?
For more information please:          Reply to this e-mail with your          Name:         Phone Number:         Best time to call :            It's that easy.
",[kpwjb]
"The information contained herein is based on sources that we believe to be reliable, but we do not represent that it is accurate or complete.
Nothing contained herein should be considered as an offer to sell or a solicitation of an offer to buy any financial instruments discussed herein.
Any opinions expressed herein are solely those of the author.
As such, they may differ in material respects from those of, or expressed or published by on behalf of Carr Futures or its officers, directors, employees or affiliates.
?
2001 Carr Futures   The charts are now in the most recent version of Adobe Acrobat 4.0 and they should print clearly from Adobe Acrobat Reader 3.0 or higher.
Adobe Acrobat Reader 4.0 may be downloaded for FREE from www.adobe.com.
(See attached file: AGAMAIL.pdf)
",AGA Report 12/19
"PRIVILEGED AND CONFIDENTIAL:  Mike Peterson asked me to send you the following note, with attached order:  Attached is an Order signed yesterday and entered this morning by Judge Rosenthal on Plaintiffs' Motion for TRO and Preliminary Injunctive Relief (including a freeze of defendants' ""insider trading proceeds"") - i.e., the matter on which there was a hearing with attendant media hoopla last month.
You probably recall that at the end of the hearing, Judge Rosenthal asked for briefing on a rather arcane legal point concerning whether or not the Court had authority to issue the requested preliminary relief, and the parties submitted briefs on this matter on December 15 and December 21.
In the attached Order, Judge Rosenthal concludes that the Court does have the requisite authority, but the present record does not contain evidence warranting a freeze of any individual defendant's proceeds from the sale of Enron stock.
You might take further comfort from two additional points in the Court's opinion: (a) at several places, the Court clearly indicates that any ""freeze"" or other such injunctive relief as to any defendant would have to be predicated on an individualized evidentiary showing as to that defendant; and (b) the Court indicates that plaintiffs would have to satisfy a very difficult ""tracing"" requirement to establish a right to a constructive trust or freeze (i.e., ""trace"" a specific asset or fund of money held by any defendant back to the profits of an improper insider trade).
The aspects of the Court's opinion that arguably are favorable to the plaintiffs are (a) the discussion of ""an equitable accounting,"" wherein the Court suggests that the plaintiffs might be able to satisfy the requirements for an order that defendants account for profits earned by trading Enron securities between October 1998 and November 2001; and (b) providing an opportunity (through January 23) for plaintiffs to file a brief addressing whatever expedited discovery they believe they are entitled to as to the individual defendants, ""particularly as to .
.
.
Kenneth Lay, Jeffrey Skilling, and Andrew Fastow.""
We will, of course, advise you of any further developments.
- Mike Peterson  As always, please do not hesitate to call or e-mail us if you have questions or comments.
Terri    This e-mail and any attached files may be confidential and subject to attorney/client privilege.
If you received it in error, please immediately notify the sender by return e-mail or by calling (713)654-7600.
",Judge Rosenthal's Order entered this morning
"Please review the attached termination letter.
Crescendo will need to sign  this.
We can forward this letter to Crescendo for signature unless you would  rather handle that.
Let me know.
Thanks.
",OGE Energy Resources Termination Letter
"Here is a revised CA with CINergy.
They also sent a clean version thinking  that we might not have any changes other than what we had before.
I am still  trying to talk to Jeff about paragraghs #5 and #6.
Thanks Ben
",Confidentiality Agreement
"Approved re: monitor.
What is our policy on printers for lawyers?
I know a  number of people (including me) have them but I don't know how that happens.
","""Thin"" Computer  Flat Screen"
"Thanks for coming over this afternoon.
Thought I would jot down what we heard from the meeting.
Please add, delete, modify as you see fit.
Thanks,
",Summary of Meeting
"Mike - It was great to see you again and thanks so much for helping in the wedding.
It was pretty hectic & I wish I could have had more time to spend talking with you.
I hope you had fun and enjoyed it as much we did....pbw
",Wedding
"I still have not released the 700 dth of capacity from VNG to Nabisco on  CGAS.
I just spoke with Henry Riewerts at Nabisco.
He does not have a  navigator ID and password.
This will be the only CGAS activity he has and he  has not bought any gas for Nov either.
I think he needs someone to handle  this for him.
Is this the type of thing we can pass on to EES?
",Nabisco
"Gerald,   fyi...i just received the executed original of the lawn mowing agreement.
I am forwarding it to your office.
Give me a call if you have any questions.
Rakhi (x3-7871)
",assumption parish mowing letter
"As you know, we are continuously updating the Foreign & Domestic Counsel database so that it can be maintained in the most accurate form; therefore, any new information you may have regarding outside counsel firms that have been interviewed and/or retained in the past month would be greatly appreciated.
Also, if you have any updates to the existing database entries we would also like to hear from you.
Please take the time to help us update this database so it can be a valuable tool for all of us!
Each one of us has full access to the database via your Lotus Notes application at ECT_HOULN1/ECT/Legal/ECT Foreign & Domestic Counsel database.
We are also looking for any firms that have been either interviewed or have signed an Engagement Letter with us.
Please provide any new information and/or updates either to Nony Flores or Becky Spencer.
Thank you for your attention to this matter.
",Database Updates
"Good Friday Morning - Comments From The Local Guys!
We read a great quote today.
It was published by a technical newsletter which we are privileged to receive.
""When people are emotional, it is difficult to envision a market environment that is opposite of what is making them so emotional in the first place"" - Unknown..  We believe the market is in the early stages of repair.
While we may have a rally over the next few weeks, we are on the lookout for a successful retest of the mid-September lows.
If this were to occur, we would expect to see this coincide with positive technical market readings.
What to do in the mean time?.
This is the time to upgrade portfolios in anticipation of a longer term recovery.
The 30 -year bond yield is 5.50%.
","The Morning Market Call - Friday Sept 28th, 2001."
"Dear All,     This is Youyi from Hong Kong who misses all of you.
I am sorry for not contacting you earlier because of loss of your contacts.
Everything is fine to me in Hong Kong now except for a big shock for the terror attack on WTC and Pentagon.
If you find out a chance of visiting Hong Kong, please give me a call at (852)2609-8242 (O) or (852)2994-3485 (H).
I will be very happy to have a gathering with you.
Cheers,
",I miss all of you
"Here is the latest copy.
Once you may the changes I am going to run it by  Mark Metts and send it over to CINergy.
I am trying to get this sogned  today, so I can head down to Florida to meet up with Don and company.
Thanks Ben
",Confidential Agreement
"A quick summary of the NYMEX meeting I attended on August 10.
1.   eNYMEX  NYMEX has begun developing an internet based trading system to  replace Access and to handle basis trading.
The system is targeted to launch some time during Q4  2000.
The basis  products that might be traded are    Nymex swap, AECO (C$/gj  fxd/float),  Transco Z6, Chicago City Gate, Houston Ship Channel.
2.
TAS   Overwhelming support of the TAS pilot program from trade players  with locals opposed.
A motion was passed to    add expiration day to the  current TAS pilot program.
The motion is to be presented to the NYMEX board  in the    next few weeks.
3.
AGA data release Favorable comments regarding the 1pm release of the  weekly storage data.
4.
Sabine Hub discounts  Sabine is considering offering some discount  through the Hub for volume commitment.
Please let me know if you have any questions.
",NYMEX Advisory Committee Meeting
"I'm getting my head above water WRT the demand letters we sent in early March and all the associated fallout from those letters.
Preparing for our next move to bring in more cash.
We can send more demand letters for Mar02 non-paid invoices (don't know yet how many there are) and/or pursue default interest payments associated w/ the previous demand letter payments.
Sara and Angelo, let's get together to plot out our next actions.
I'll set up a meeting.
",New Round of Demand Letters?
"At the request of Bob Shults, I am attaching our proposed form of  Confidentiality Agreement.
I have included our phone numbers below in case  you have any comments you would like to discuss with us.
We look forward to  hearing from you.
",Confidentiality Agreement-Human Code
"I just talked to Chris Kennedy, she informed me that Amoco will be taking down their liquids line that feeds the Wattenberg plant for the entire months of August and September.
What that means is that the gas flows into CIG at Watkins/Box Elder will be reduced.
She says by 15% but I don't know if that's entirely correct.
This hurts us on the Thermo deal, delivered to Skyline, due to the fact that these two receipt points are the only points that work on our discounted transportation.
I don't think we will have too much trouble buying DJ supplies during the peak of the summer but keep your eyes open for any Watkins/Box Elder supply.
We also need to start working CIG for a discount on other receipt points.
Paul    PS  Make sure if you are using the CIG Skyline DISCOUNTED transportation at receipt points other than Watkins and Box Elder we are requesting discounts for these additional points.
Otherwise we will be paying max rate!
",Watkins Outage
"COLUMBIA GAS TRANSMISSION CORPORATION                         NOTICE TO ALL INTERESTED PARTIES                                 NOVEMBER 20, 2001  Notice ID: 3284 5 - NO RESPONSE REQUIRED   NOTE:  The following is being provided by Columbia as notice to all of its shippers of potential outages or reductions in available capacity in the identified portions of the system due to construction activities, routine maintenance, modifications, tests or repairs undertaken to protect the integrity and performance capability of its storage and transmission facilities.
The information provided below is subject to change for numerous reasons, including but not limited to, third-party controlled events and decisions, weather, work schedules, equipment availability, force majeure events, etc.
Thus, while Columbia is willing to provide this notice and update it periodically as necessary, Columbia is unable to represent and warrant that the specific activities will occur, or that they will occur on or near the specified dates.
SUBJECT:   LINE SM-123  Columbia anticipates that November 26, 2001, Line SM-123 will be back in service.
The restriction of 0 non firm will be lifted.
The following receipt points will be affected:     Equitable Gas:    Beaver Creek      (H1)                      Hi Hat            (F3)     CNR Pipeline:     Boldman           (CNR02)                      Conoway           (CNR03)                      Johns Creek       (CNR08)                      Canada            (CNR09)                      Canada            (CNR10)                      Stafford          (CNR11)                      Thacker/Majestic  (CNR12)                      Briar Mtn.
(CNR13)                      Huff Creek        (CNR14)     Conoco:           Grant             (P1)  The same is true with respect to any Appalachian production flowing directly into Columbia's Line KA between Columbia's Boldman Compressor Station and Columbia's Huff Creek Compressor Station as well as production flowing into Columbia's Lines SM-116, KA-15, PM-3 and PM-17.
If you have any questions, feel free to contact your Customer Services Team.
",TCO - LINE SM-123
"Lia Hernandez, currently of ET&S, has accepted a position at ENA effective  August 2, 2000.
To ensure that ET&S continues to be in compliance with the  marketing affiliate rules, Lia's access to any ET&S or GPG-related LANs or  applications should be removed at the close of business on August 1.
In  addition, Lia's email profile should be changed and any GPG or ET&S mass  distribution  lists should be changed.
Please send a reply email to me after these changes have been completed,  verifying and indicating the date that employee was: - removed from the LAN - EBB password was changed/canceled (if applicable) - removed from ET&S or GPG-related applications - email post office box was transfered.
If you have questions, or if you believe there is someone else I need to  contact in order to accomplish the above, please let me know.
",Transfer
"Joe:  A few questions:  1. Who trades this?
2.
What book does it sit in?
3.
What legal entity is that book?
Please let me know as we are comparing this to another product.
Thanks.
",WTI-Brent trades
"Corporate comp is relooking at your contract based on our converstion..ieyou  would be entitled to severance payment eqyual to 2 year salary and bonus  should you decide to leave the company provided that all or substantially all  of the Azurix assts other than ?Wessex and Azurix Bu7enos Aires are sold.
I will meet with Jim Derrick today to discuss John Ale.
With regard to Beckett and Glasford; their agreements provide for retention  bonuses provided they stay until September 16th.
If they voluntarily leave  before that they get nothing.
There is no employment agreements in place  that link anything to comparable positions titles or anything else.
Should  we move them over to Enron in Director positions and they are subsequently  offerred positions elsewhere in Enron ( once we dispose of non-Wessex and ABA  assets) at Director positions, then they have a choice of  accepting those  positions or voluntarily terminating.
Since there is no contractual  agreements with these two I do not want to offer any kind of enhanced  severance payments to them.
I have contacted Ben Glisan regarding Glasford  and he is polling his people about their view on an appropiate placement for  him.
I will talk with you when you return.
Thanks.
",Employee issues
"For Thursday -  STWBOM will be short 75 mw on peak @ SP15.
The three day-ahead pieces were sold @ $27.20 and $28 (BOM sales) and $29.97 (SP15 Peak Day-Ahead Index).
Make real time purchases to cover the short under the STWHOURLY book.
Enter an inter-desk sale from STWHOURLY to STWBOM.
Then make a sale under the STWBOM book to the Cal-Imbalance to complete the deal.
Also, STWBOM will be long 20 mw HE 2-5 @ PV.
This is a parking deal with PNM done at $16 ($14 purchase price + $2 buy-resale fee).
You'll notice we'll be long 20 mw for these hours in Real Time Position Manager.
Please enter an inter-desk purchase from STWBOM under the STWHOURLY book @ PV and sell this off real time under STWHOURLY.
Let me know if you have questions.
",Short/Long Positions for 10/18
"Susan, Haven't bought your tickets yet, but have a feeling I won't be able to do anything about you getting in at 9:00pm Sunday.
I will ask though.
You should be leaving on Tuesday and returning to Houston on Sunday (and leaving Korea on Sunday).
The total air fare should be $962.
Shoot me a quick e mail if this is not ok.
Otherwise, I will plan on purchasing your tickets this afternoon.
Thanks!
",tickets
"Dear Friends and Family  Come Join the Fun!
Don Baughman Jr. Will be 31!
Sunday November 18, 2001 3:00 P.M.  Baughman Home- Iowa Colony  Bar -B-Q by Travis
",Happy Birthday Don Jr.
"HI SANDY!
I WILL NEED TO TAKE TUESDAY, 1-4-2000 OFF.
MY HUSBAND IS HAVING  SURGERGY ON THAT DAY.
IF YOU COULD PLEASE PUT IT ON THE JANUARY CALENDER.
THANK YOU!
JUDY HERNANDEZ
",TIME OFF.
"The model review meeting on Thursday went well, and the consensus was that = there are many changes to be made to the current Foothills economic model.
= Many assumptions in the current model were challenged by the participant co= mpanies.
Foothills agreed to reflect the suggested changes to the model (An= dy is supposed to send out a summary of the discussion) and provided an ele= ctronic copy of the model for withdrawn partners' review.
Withdrawn partner= s agreed to give their comments/feedback on the model to Foothills until 11= /27/01 and another meeting to reach an agreement on economic model/toll was=  scheduled for 12/03/01 or 12/04/01.
The data from economic/toll model will=  be used in commercial proposal/presentation to the ANS producers which ANN= GTC intends to have by 12/20/01.
Tim and I will review Foothills' cash flow=  and COS model and prepare comments.
Overall, the participants though that the current Foothills model ($0.43/MM= Btu toll for Alaska section) has very aggressive assumptions in many ways, = and it is very likely that the toll will be increased significantly after a= ll the appropriate revisions are made.
The following are the main discussio= n points of the meeting.
Item 1 and 2 are expected to have a very large imp= act on the toll.
1) Capex and Opex need to have annual/monthly escalation (current model has=  0% escalation).
For example, Foothills sensitivity analysis shows that 2.5= % Capex escalation would increase the toll by $0.20.
Numbers such as 1.5% f= or Capex and 2.5% for Opex were thrown during the meeting, but more reviews=  need to be done regarding appropriate escalation rates.
Do you have any op= inion on this, Bryan?
2) Foothills is using Flowthrough method (using cash taxes in COS calculati= on) to calculate income taxes that go into the Cost of Service and might be=  underestimating Cost of Service.
Tim thought that the Flowthrough method w= ill not fly because of previous cases in which that method was not allowed = by IRS and FERC.
Foothills said that they can still have same toll under No= rmalized tax method by changing the depreciation number, but Tim was concer= ned that it might force the partnership to record negative depreciation.
Fo= othills declined our request to share their Cost of Service model and insis= ted that we calculate the toll ourselves based on the information in the ca= sh flow model.
They agreed to provide a hard copy of their Cost of Service = model in the end, but Tim and I were under impression that Foothills was tr= ying to lower the toll as much as they can.
Tim was also concerned about le= velized toll approach because of FERC might lower allowed return in the lat= er rate cases and more analysis needs to done regradign this.
Please correc= t me if I am wrong here, Tim.
3) OM & A is currently estimated to be 1% of Capex but this might be too lo= w (OM&A in more latest cost estimate by Foothills is approx.
1.5% of total = Capex).
4) The Withdrawn Partners' historical contributions ($228 million) will be = added to the Rate Base, but this might be dropped if necessary.
Success fee=  of $40 million should be included in the project budget.
5) Working Capital will be added to the project cost.
The Line Pack cost (1= 4.5 Bcf for the whole section) was assumed to be borne by ANS producers but=  some participants highly doubted that that would be the case.
The Line Pac= k gas might have to be bought by the Partnership or the Producers will at l= east demand certain return on their gas sitting in the pipeline for 25 year= s.  6) For Return on Capital and AFUDC, 14% ROE and 8% Interest on Debt assumin= g 30/70 capital structure is likely to be kept.
However, the current drawdo= wn schedule assumes construction financing available from the very beginnin= g, which will not be true.
Certain assumptions should be made on the financ= ial close date and commercial agreement/preliminary determination date to c= alculate AFUDC more accurately.
7) Current financing assumption in the model is a 25 year bank loan with ba= lloon amortization and DSCR of 1.6.
In reality, the initial bank loans will=  be of shorter maturity (5-15 years) and certain roll-over financing will b= e unavoidable.
It is also likely that the loans will have multiple tranches=  with different terms, interest rate, seniority etc.=20  8) There is significant currency risk associated with Canadian section of t= he ANGTS considering that some sources of capital, revenues and part of ope= rating expenses will be in Canadian dollars.
A mechanis to mitigate currenc= y risk should be in place and there might be some costs associated with it.
9) Property taxes of 2% in Alaska seems high, but Property taxes during con= struction period should be added.
Lastly, there is about $300 million difference ($4,336-$4035) between ETS c= urrent cost estimates and the cost estimate in the Foothills model, excludi= ng IDC and AFUDC.
Another engineering estimate might have to be dome for la= rger pipe size (46 or 48 inch) as noted in Bryan's email.
=20  Thanks,
",Toll Model Review Meeting Updates
"Revised draft.
Da Bulls toner is low, so the draft doesn't look good, and I  don't know where the others print.
Guess I could just listen for it...
",Manlove
"The reservation deadline for the October 6 boat cruise has been extended.
There is still time and space available so you won't miss any of the fun!
Complete the information below to make your reservation today.
The HBS Club is sponsoring an event on the Star Cruiser, a 90 foot luxury entertainment yacht.
Bring your spouse or a guest and enjoy an evening out with dinner and music and see the sunset and the lights of Kemah!
",HBS Boat Cruise - REMINDER!
"Per Bill Wood's request, the attached sheet has those power plants (marked with ""XX"" in the left column) that are currently connected or proposed to be connected to the existing Transwestern Pipeline system.
Let me know if you have questions.
If the information is satisfactory, please forward this message to Bill Wood.
kh
",Proposed EG Projects.xls
"The information contained herein is based on sources that we believe to be reliable, but we do not represent that it is accurate or complete.
Nothing contained herein should be considered as an offer to sell or a solicitation of an offer to buy any financial instruments discussed herein.
Any opinions expressed herein are solely those of the author.
As such, they may differ in material respects from those of, or expressed or published by on behalf of Carr Futures or its officers, directors, employees or affiliates.
?
2001 Carr Futures   The charts are now in the most recent version of Adobe Acrobat 4.0 and they should print clearly from Adobe Acrobat Reader 3.0 or higher.
Adobe Acrobat Reader 4.0 may be downloaded for FREE from www.adobe.com.
(See attached file: ng_rpt.pdf)(See attached file: ho_rpt.pdf)(See attached file: hu_rpt.pdf)(See attached file: cl_rpt.pdf)   - ng_rpt.pdf   - ho_rpt.pdf   - hu_rpt.pdf   - cl_rpt.pdf
",COT 1/5
"This is a notice to inform you that the server where your Outlook mailbox resides is scheduled for an outage tonight.
Your mailbox will be temporarily unavailable starting anytime after 11pm and may continue to be unavailable until 1 a.m., when all server maintenance work have been completed.
Outlook Web Access (OWA) will also be unavailable during this time.
Blackberry users:  Message delivery may be delayed for a few minutes.
If you have any questions, please call the Resolution Center at x31411.
","CORRECTION:  Outlook Outage - Friday, December 28, 2001"
"Monika,  As it looks like I may have a slow day today, I was wondering if you could forward your most recent copy of the Itochu analysis for review?
Thanks.
KC
",Itochu Company Analysis
